Title,Author,Genre,PublishedYear,ISBN
"Brother, Can You Spare a Dime?",Missy,Documentary,2012,595-150-6266
Crazy Thunder Road,Giacomo,Action|Sci-Fi,2008,173-309-0160
Hatchet III,Ashil,Comedy|Horror,2012,506-661-9108
"Grave, The",Zonnya,Comedy|Horror|Thriller,2000,332-677-1425
Dating Games People Play,Livia,Comedy,2005,413-749-5516
Thomas Pynchon: A Journey into the Mind of P.,Betsey,Documentary,1996,195-676-6994
Castles in the Sky,Sky,Drama,2012,923-436-5494
8 Days to Premiere (8 päivää ensi-iltaan),Valerie,Comedy|Fantasy|Romance,2000,699-578-3858
Don't Drink the Water,Simona,Comedy,2012,468-498-6583
"Koruto wa ore no pasupooto (Colt Is My Passport, A)",Nana,Action|Crime|Drama,1998,601-620-8982
"Wanderers, The",Merissa,Drama,1985,427-955-6669
Guardian Angel,Norry,Action|Drama|Thriller,2000,253-822-6250
I Shot a Man in Vegas,Tori,Comedy,2003,408-941-8288
Quo Vadis,Benedetto,Drama|Romance,2010,143-570-6765
Series 7: The Contenders,Dane,Action|Drama,2003,596-971-3515
"Magic Flute, The (Trollflöjten)",Frederic,Comedy|Fantasy|Musical|Romance,1997,697-810-1976
Swing Time,Jean,Comedy|Musical|Romance,2012,479-955-8403
Witless Protection,Leonid,Comedy,2003,497-321-0193
In Enemy Hands,Kerry,War,1992,949-650-4764
Welcome to the Dollhouse,Shermy,Comedy|Drama,2005,437-631-2718
Drums Along the Mohawk,Ripley,Adventure|War|Western,1999,508-868-5092
"Seventh Sign, The",Ofella,Drama|Fantasy|Thriller,2012,616-952-7131
Torso,Bidget,Horror|Mystery|Thriller,2012,532-672-7729
Steel,Giulietta,Action|Adventure|Crime|Drama,2012,332-775-7196
Johnny Guitar,Lura,Drama|Western,2010,446-579-6952
Gone Nutty,Yasmin,Animation|Comedy,2006,156-374-5633
Two Family House,Berenice,Drama,1995,956-470-7986
"Return to Salem's Lot, A",Lorrie,Horror,1990,336-137-9795
Bethlehem,Federica,Drama|Thriller|War,2003,167-574-8761
"Erotic Man, The",Pennie,Drama,1997,147-890-5080
"Monitor, The (Babycall)",Barby,Horror|Thriller,1993,565-145-8152
U.S. Marshals,Isaac,Action|Crime|Thriller,1985,149-589-9468
Daylight (Daglicht),Lynette,Action|Thriller,2011,333-525-6912
"Assassination Bureau, The",Giraud,Action|Adventure|Comedy|Crime|Sci-Fi,2010,941-946-3551
Who the #$&% is Jackson Pollock?,El,Documentary,2009,756-683-8462
Four Sons,Susanetta,Drama|War,2007,975-762-5508
Madeinusa,Mollie,Drama,2005,631-398-4279
Payback,Alidia,Action|Thriller,1990,568-901-7325
Side Effects,Raphaela,Crime|Drama|Mystery|Thriller,2009,430-863-2386
Spacehunter: Adventures in the Forbidden Zone,Amil,Sci-Fi,2010,197-272-9806
"New York Ripper, The (Squartatore di New York, Lo)",Hendrik,Crime|Horror|Mystery|Thriller,1997,770-399-0772
A Cry in the Wild,Lanny,Action|Adventure|Thriller,2009,900-183-5852
"Synecdoche, New York",Fawnia,Comedy|Drama,2002,912-679-4352
Blackout (Contraband),Dalia,Adventure|Romance,2011,260-128-5344
Chapiteau-show (Shapito-shou),Hewie,Adventure|Comedy,2005,253-137-4666
Far from Home,Jeannie,Thriller,1989,541-442-2079
Garfield Gets Real,Dania,Animation|Children|Comedy,2004,510-171-9313
Psycho,Margarette,Crime|Horror|Thriller,2012,527-707-3362
"Devil's Backbone, The (Espinazo del diablo, El)",Darice,Drama|Fantasy|Horror|Thriller|War,2013,175-916-0587
My Friend Flicka,Rakel,Children|Western,2002,805-538-2312
"Chess Players, The (Shatranj Ke Khilari)",Garvin,Comedy|Drama,1996,636-702-1247
"Pepi, Luci, Bom (Pepi, Luci, Bom y Otras Chicas del Montón)",Ernesta,Comedy,1996,375-992-5552
Beethoven's Treasure Tail,Alyosha,Action|Adventure|Children,1996,526-701-2076
That Certain Woman,Nico,Drama|Romance,2007,353-819-7302
Mrs. Pollifax-Spy,Ulysses,Adventure|Comedy,2008,881-347-2034
The Island,Stanfield,Drama|Mystery,1991,216-928-7264
Pépé le Moko,Felipa,Crime|Drama|Romance,2012,579-909-1218
Metallica: Through the Never,Lurette,Action|Musical|IMAX,2000,434-627-7690
Predator,Anestassia,Action|Sci-Fi|Thriller,2010,718-118-3810
Napoleon and Samantha,Anders,Adventure|Drama,2001,685-259-3265
TiMER,Corbet,Comedy|Drama|Fantasy|Romance,2006,118-364-0469
Taipei Exchanges (Di 36 ge gu shi),Itch,Comedy|Drama,2010,993-859-3545
The Boys,Corabel,Crime|Drama,1993,911-803-2404
Wuthering Heights,Worth,Drama|Romance,1971,176-692-6562
Mystery of the Wax Museum,Laurella,Horror,1997,435-739-1611
Command Performance,Zita,Action|Drama|Thriller,2006,765-968-7843
Prince Valiant,Gilberta,Adventure,2006,193-846-9043
Fifty Pills,Jacynth,Comedy,2007,438-641-4644
Brooklyn Bridge,Starr,Documentary,2002,570-693-8858
Offside,Regina,Comedy|Drama,2007,767-516-2158
"Golden Christmas 3, A",Camel,Children|Comedy|Romance,2006,965-891-8724
Tol'able David,Mahala,Drama,2011,803-306-7243
Winter's Tale,Laryssa,Drama|Fantasy|Mystery,2012,430-928-7567
History Is Made at Night,Michell,Drama|Romance,1988,134-796-7969
"Wszystko, co kocham",Annadiana,Comedy|Drama,2004,482-180-4466
"Best Man, The",Justen,Comedy|Drama,2004,985-439-9084
Ann Carver's Profession,Neel,Drama,1995,782-859-2779
Electroma,Maddie,Drama|Sci-Fi,2000,834-647-6327
"Burglars, The (Le casse)",Tim,Action|Crime|Thriller,2011,732-331-9202
Hell's Highway: The True Story of Highway Safety Films,Reta,Documentary,1986,534-565-2443
Wonderland,Hildegaard,Crime|Drama|Mystery|Thriller,1996,617-946-8330
"Conversation with Gregory Peck, A",Flor,Documentary,1990,502-125-9331
"Night of the Following Day, The",Fedora,Crime|Drama,2011,565-317-0473
The Empty Hours,Keenan,Drama|Romance,1992,169-934-5193
"Darkest Hour, The",Lemuel,Action|Horror|Sci-Fi|Thriller,2013,436-590-5982
Bill Bailey: Qualmpeddler,Bettina,Comedy,2010,366-597-9809
Angels Fall,Adena,Drama|Romance|Thriller,2012,987-412-7824
The Magic Crystal,Coralie,Adventure|Animation|Children|Comedy|Fantasy,2007,558-111-1424
Strange Invaders,Whitney,Animation|Comedy,2010,479-294-4045
Shopping,Janine,Action|Thriller,1996,786-796-0345
Picnic on the Grass (Le déjeuner sur l'herbe),Izaak,Comedy|Romance,1993,482-483-2276
Faces,Maurice,Drama,2000,396-674-6087
Bounty Killer,Radcliffe,Action|Sci-Fi|Thriller,1997,218-536-2955
Charlie Chan in The Chinese Cat,Andi,Comedy|Crime|Mystery|Thriller,2001,605-798-6678
Hit Squad,Gale,Action|Comedy,1990,912-552-2301
Project X,Townie,Comedy|Drama,2004,711-494-7111
Senna,Birch,Documentary,2011,305-622-5016
Hilton!,Catriona,Documentary,1997,779-466-4367
Jumping the Broom,Olivia,Comedy,2011,266-918-0615
Comin' at Ya!,Gian,Western,2011,217-641-7732
Gigot,Nicol,Comedy,2008,929-493-4417
Beauty and the Beast (Beauty and the Beasts: A Dark Tale),Marcello,Fantasy,2000,501-364-6191
It's Alive,Malynda,Horror,1998,235-291-2412
Family Guy Presents: Blue Harvest,Pablo,Animation|Comedy,2005,803-644-9122
"Chameleon, The ",Mahalia,Drama,1994,786-608-6292
Breaking Point,Rhody,Thriller,2000,131-446-7755
"Tribe, The (Plemya)",Rubi,Crime|Drama,1993,151-487-6674
A Night at the Movies: The Suspenseful World of Thrillers,Karla,Documentary,1994,385-561-1336
Twin Town,Berky,Comedy|Crime,1998,757-866-8553
99 Homes,Willow,Drama,2006,239-587-1248
Wicked Blood,Ky,Action|Drama|Thriller,2012,636-419-4644
Hoffa,Bette-ann,Crime|Drama,1998,793-976-9811
Rhino Season (Fasle kargadan) ,Caesar,Drama|Fantasy|Film-Noir|Mystery|Romance|War,2009,830-611-8156
Peppermint Soda (Diabolo menthe),Leanna,Comedy|Drama,2011,485-251-8807
Ernest Goes to Jail,Bree,Comedy,1994,241-472-1627
Troll 2,Crichton,Fantasy|Horror,1994,859-486-3389
Why Worry?,Jemmy,Adventure|Comedy|Romance,2004,700-343-2714
House of Games,Shalna,Crime|Film-Noir|Mystery|Thriller,1993,376-543-7497
"Rescuers Down Under, The",Lonny,Adventure|Animation|Children,1993,853-795-0985
Halloween III: Season of the Witch,Brit,Horror,2009,556-654-6214
Golden Earrings,Welby,Adventure|Romance|War,1991,536-738-0798
"Kiss Before Dying, A",Ciel,Film-Noir|Mystery,1997,653-239-9820
My Brother the Devil,Selma,Drama,1997,147-750-4342
Two for the Road,Arthur,Comedy|Drama|Romance,1998,529-503-7332
Shoot the Moon,Ellen,Drama,2009,338-748-0944
Broadway,Carlota,Drama|Musical,1986,348-966-3706
Japanese Girls at the Harbor (Minato no nihon musume),Lewiss,Drama,2002,690-137-0209
Russell Brand: Messiah Complex,Marty,Comedy,2002,435-143-1075
Fly Away,Theodor,Drama,2011,962-889-9271
Larry the Cable Guy: Health Inspector,Neysa,Comedy,2009,766-345-9684
One Way Passage,Aurel,Drama|Romance,2003,891-983-2905
City by the Sea,Gertie,Crime|Drama,1997,795-616-4863
"Truly, Madly, Deeply",Mariellen,Drama|Romance,1998,411-790-6717
"Girl Can't Help It, The",Nikolaos,Comedy,2002,948-430-8643
Remorques (Stormy Waters),Edie,Action|Drama|Romance,1995,164-841-2261
Torso,Maia,Horror|Mystery|Thriller,2001,616-160-1606
"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",Goldy,Comedy|Drama,2006,451-617-2776
They Call Me Renegade,Fair,Action|Adventure|Comedy|Western,1985,537-162-0931
Images of the World and the Inscription of War (Bilder der Welt und Inschrift des Krieges),Rozanna,Documentary|War,1992,552-814-9963
Chizuko's Younger Sister (Futari),Vale,Drama,2001,692-141-6605
"Silence of the Sea, The (Le silence de la mer)",Randolph,Drama|Romance|War,1999,751-730-2224
Torremolinos 73,Dita,Comedy|Drama,2002,650-959-2054
Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki),Jodie,Drama|Romance,1986,285-108-5163
Mr. Popper's Penguins,Rosabel,Comedy,1999,951-561-1596
"Wanderers, The",Tamas,Drama,2011,169-138-8431
Comanche Station,Tiebold,Western,1994,758-744-4583
For Love of Ivy,Tiffanie,Comedy|Drama|Romance,2002,396-425-8839
Look at Me (Comme une image),Sayers,Comedy|Drama|Romance,1998,939-856-5175
My Kidnapper,Obadias,Documentary,1990,625-335-7774
"Group, The",Florrie,Drama,2008,304-402-6355
"Colonel Chabert, Le",Morlee,Drama|Romance|War,2007,217-951-1444
Killjoy,Minnie,Horror,1995,973-336-5077
Camilla,Lorain,Adventure|Drama|Romance,2001,799-265-0433
Arsène Lupin Returns,Alidia,Mystery,1991,731-877-6250
Civil Brand,Tobiah,Drama,1999,146-193-4535
Saint Ange (House of Voices),Vi,Drama|Fantasy|Horror|Mystery,2004,181-185-2710
Eddie and the Cruisers II: Eddie Lives!,Galvin,Drama|Musical,2012,208-597-2708
Pistol Opera (Pisutoru opera),Gabbie,Action|Crime|Drama,2009,837-534-2350
Visual Acoustics,Filberte,Documentary,2010,799-888-6301
Dracula: Dead and Loving It,Sephira,Comedy|Horror,2002,551-570-5372
"Sea Wolves, The",Lanae,Action|War,2007,770-523-7346
Six Weeks,Wandis,Drama,2005,499-323-4463
I'll Do Anything,Dud,Comedy|Drama,2001,643-750-0593
"Greatest, The",Lemmy,Drama|Romance,1991,288-140-0133
Rivers and Tides,Wolf,Documentary,1963,526-456-9604
Winchester '73,Tanner,Western,2003,236-282-8920
Candy,Zena,Drama|Romance,1999,967-721-6044
Gertrud,Brear,Drama,2005,426-879-9173
"Believers, The",Ernest,Horror|Thriller,1996,751-967-3274
Gray Lady Down,Herbert,Drama|Thriller,1997,926-983-1322
One Life,Thorvald,Documentary,2011,327-450-4755
WarGames,Gratia,Drama|Sci-Fi|Thriller,2004,106-429-6861
"Brussels Business, The",Franky,Documentary|Thriller,1985,126-399-8742
"Decameron, The (Decameron, Il)",Guillermo,Comedy|Drama,2007,762-426-2627
Samurai Vendetta,Antonella,Action|Drama,1991,392-168-4055
Oculus,Hannie,Horror,1998,941-628-7549
Paan Singh Tomar,Michel,Crime,2008,634-459-8059
Changing Habits,Reggie,Comedy|Drama,2010,150-799-0472
Last Days in the Desert,Felipa,Adventure|Drama,2010,702-157-1929
Not Fade Away,Stan,Drama,2000,422-849-4597
Julia,Lane,Drama|Thriller,1997,907-907-9688
Dear Mr. Watterson,Meade,Documentary,2005,228-611-7888
"Nightmare on Elm Street, A",Lura,Fantasy|Horror|Thriller,2006,971-814-5345
"Blue Angel, The (Blaue Engel, Der)",Ariana,Drama,2008,450-526-3559
"Motel Life, The",Valentin,Drama|Mystery|Thriller,2000,734-821-8490
Tom & Viv,Nanci,Drama,2002,327-290-9434
"Man in the Gray Flannel Suit, The",Cordy,Drama,1995,122-197-6356
"Life and Times of Judge Roy Bean, The",Valma,Comedy|Western,1986,759-720-8234
Oki's Movie (Ok-hui-ui yeonghwa),Neile,Comedy|Drama,1995,433-796-0941
Wake in Fright,Tome,Drama|Thriller,1999,656-533-0371
"Who Are you Polly Maggoo (Qui êtes-vous, Polly Maggoo?)",Edna,Comedy,2010,220-578-9313
Hatari!,Xylina,Adventure|Comedy,2003,631-411-5889
Dressed to Kill,Burnaby,Mystery|Thriller,1991,953-745-7608
Trishna,Sara,Drama,2011,802-308-4639
"Theory of Everything, The",Ertha,Drama,1990,525-422-4799
Lacombe Lucien,Homere,Drama,1997,717-632-1058
Katy Perry: Part of Me,Goldie,Documentary|Drama,2003,907-595-2368
Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan),Sigvard,Action|Adventure|Horror,1995,604-660-0541
"Men Who Made the Movies: Samuel Fuller, The",Amelia,Documentary,1994,255-151-5773
Juarez,Erin,Drama|Romance,2011,727-453-3523
To Be King (Koning van Katoren),Ware,Adventure,2012,191-571-5677
Midway,Valaria,Drama|War,2003,461-378-7381
Hick,Orsola,Drama|Romance,2006,352-452-4605
Independents,Isidore,Documentary,2012,617-320-2010
Light Is Calling,Erny,(no genres listed),2010,481-573-3288
Chesty: A Tribute to a Legend,Stanislas,Documentary,2006,581-923-8255
13 Tzameti,Kailey,Film-Noir|Thriller,1998,292-514-4810
All I Desire,Amye,Drama|Romance,1997,182-809-3973
Miral,Ki,Drama,2012,925-724-8654
"Goods: Live Hard, Sell Hard, The",Marnia,Comedy,2009,676-360-2070
"Cruise, The",Muffin,Documentary,1998,655-748-7210
Anchorman: The Legend of Ron Burgundy,Tome,Comedy,2011,484-662-7337
Return to Snowy River (a.k.a. The Man From Snowy River II),Melessa,Adventure|Drama|Western,1994,919-368-6307
Dodgeball: A True Underdog Story,Adelina,Comedy,1997,663-533-6393
Full Metal Jacket,Fawn,Drama|War,1997,262-392-5497
Enough,Westbrook,Drama|Thriller,1995,300-932-8682
"Manhattan Project, The",Vania,Comedy|Sci-Fi|Thriller,1996,652-606-5641
"Exterminating Angel, The (Ángel exterminador, El)",Casey,Comedy|Drama|Fantasy|Mystery,2010,738-987-8018
The Gallant Hours,Almeda,(no genres listed),2008,812-371-4880
Moordwijven,Garald,Comedy,1993,349-885-6322
"Anniversary Party, The",Dominique,Drama,2008,174-525-8890
Powder Room,Vin,Comedy,2012,274-675-0817
Portraits of Women (Naisenkuvia),Mallissa,Comedy|Drama,2009,101-782-5792
"Education of Little Tree, The",Garvy,Drama,1994,874-457-9140
Moneyball,Aurel,Drama,2011,427-295-4847
Deciduous Tree (Tree Without Leaves) (Rakuyôju),Maxy,Drama,1990,192-150-2685
"Program, The",Briant,Action|Drama,2012,503-192-4525
"Five Heartbeats, The",Stephine,Drama|Musical,1985,905-767-3489
"Wild Child, The (Enfant sauvage, L')",Scott,Drama,2006,178-251-4300
Brute Force,Dermot,Drama|Film-Noir|Thriller,2004,414-242-8077
"Locals, The",Eb,Horror|Thriller,2011,323-888-1735
Prison Break: The Final Break,Joana,Action|Drama|Thriller,2006,786-536-2785
Dead Man Down,Lisle,Action|Crime|Drama|Romance|Thriller,2008,725-588-5557
Next of Kin,Gherardo,Comedy|Drama,1996,286-260-9861
"Twonky, The",Kelby,Comedy|Sci-Fi,1998,650-611-7633
Blood and Sand,Allistir,Drama,2000,595-518-3750
18 Years Old and Rising (J'aime regarder les filles),Stacie,Comedy,2009,383-312-3268
Green Fish (Chorok mulkogi),Virgil,Drama,1997,255-932-9181
"Strayed (égarés, Les)",Luke,Drama|Romance,2009,193-872-6940
"Sign of Four, The",Franklin,Crime|Mystery,1994,663-832-3653
Crows Zero II (Kurôzu Zero II),Evan,Action,2006,118-509-4487
Five Minutes to Live,Seward,Crime|Drama|Thriller,1994,107-666-6555
Wonderland,Elaine,Crime|Drama|Mystery|Thriller,2006,831-215-1156
The Last Outpost,Janela,Western,2003,905-712-9908
High Plains Drifter,Baxy,Western,1995,705-898-0626
"10,000 BC",Rurik,Adventure|Romance|Thriller,2012,113-629-3911
"Out of the Furnace (Dust to Dust) (Low Dweller, The)",Clifford,Drama|Thriller,2007,363-813-3891
Good Hair,Hermia,Comedy|Documentary,2012,941-388-3328
Under Suspicion,Helaine,Crime|Drama|Thriller,1993,792-419-3335
The Last Farm,Gonzales,Drama,2001,412-928-4363
Damn the Defiant! (H.M.S. Defiant),Cosette,Adventure|Drama,2006,360-102-7984
Offside,Stearn,Comedy|Drama,2006,176-801-8204
Bat*21,Elisabetta,Drama|War,2004,374-120-1560
Honey Moon (Honigmond),Gallard,Comedy,2010,972-436-0875
Flight of the Intruder,Jonas,Action|War,1967,119-830-6279
"Cry in the Dark, A",Mitchell,Drama,1989,546-226-9167
Long Time Dead,Suzi,Horror|Thriller,1985,239-711-0906
"On Guard (Bossu, Le)",Tremain,Adventure|Drama,2012,808-693-6045
"View from the Top, A",Rubi,Comedy|Romance,1997,757-524-0521
Manrape (Män kan inte våldtas) ,Aubrey,Drama,2007,646-921-2855
Van Helsing,Huntlee,Action|Adventure|Fantasy|Horror,1997,626-883-2182
Foosball (Metegol),Ced,Adventure|Animation|Romance,1998,985-227-1922
"Snowtown (Snowtown Murders, The)",Shandie,Crime|Drama|Thriller,1989,317-876-8322
Mickey's Twice Upon a Christmas,Filbert,Animation|Children|Comedy,1999,805-361-3037
"Silent Partner, The",Wylma,Crime|Drama|Thriller,2012,729-201-2280
Please Remove Your Shoes ,Lottie,Documentary,2008,703-632-2033
"Theory of Flight, The",Bartholomeus,Comedy|Drama|Romance,2010,468-438-4782
"Stepdaughter, The",Brunhilda,Horror|Thriller,1997,845-849-4568
Trois,Aila,Thriller,2010,278-603-0479
No Reservations,Florie,Comedy|Drama|Romance,1990,240-627-6541
"Friends at the Margherita Cafe, The (Gli amici del bar Margherita)",Ladonna,Comedy|Drama|Romance,2010,594-547-4543
Straw Dogs,Staci,Thriller,2009,118-250-9029
Pirates of the Caribbean: On Stranger Tides,Marshall,Action|Adventure|Fantasy|IMAX,1997,296-986-3528
Shooting Fish,Leontine,Comedy|Romance,2012,451-281-0620
"Lottery, The",Caddric,Documentary|Drama,2004,841-981-7989
Kinbaku,Yvette,Documentary,2013,869-227-8517
Illuminata,Fanny,Comedy,2000,845-836-0830
Firaaq,Luca,Drama,1994,481-202-8667
Twilight,Mufinella,Crime|Drama|Thriller,1989,336-528-1641
"Chosen One, The",Adriaens,Comedy|Drama,2006,652-827-5331
My Way (Mai Wei),Francene,Action|Drama|War,1997,213-958-9575
Private Detective 62,Rutter,Comedy|Crime|Drama,1985,927-443-0687
Emmet Otter's Jug-Band Christmas,Maddalena,Children|Comedy|Drama|Musical,2011,587-963-9383
Family Viewing,Darbie,Drama,2000,773-116-7309
"Blackbeard, the Pirate",Lawton,Adventure,1995,164-527-8820
Garfield Gets Real,Ketti,Animation|Children|Comedy,2006,307-430-7089
"Witnesses, The (Les témoins)",Dulcea,Drama,2006,310-398-8240
Superclásico,Rosaleen,Comedy|Drama,1994,372-486-0259
How to Live Forever,Meridel,Documentary,1986,215-655-4658
Phantom,Reynolds,Drama|Fantasy|Romance,1989,256-140-1916
3 Simoa,Rycca,Comedy,2004,520-960-3271
"Dust of Time, The",Isidor,Drama,2002,421-397-4828
Rapture-Palooza,Alys,Comedy|Fantasy,2011,320-932-0477
Reality,Trudi,Comedy|Drama,1986,175-505-1009
"Corridor, The (Koridorius)",Collie,Drama,1997,272-127-3409
Across the Bridge,Cosette,Crime|Drama|Thriller,1984,360-502-8892
"Fifth Commandment, The",Brok,Action|Comedy|Crime|Drama|Thriller,1992,624-182-9763
"Magic Christmas Tree, The",Alyse,Children|Comedy|Fantasy,1996,151-788-0498
Young Tom Edison,Melania,Drama,1994,792-494-4150
"Big Time Operators (Smallest Show on Earth, The)",Lona,Comedy,1960,310-177-8731
"Red Shoes, The",Chelsae,Drama|Fantasy|Musical|Romance,1993,368-360-5952
Ricky,Clem,Comedy|Drama|Fantasy,2008,629-441-2434
The Road to Glory,Diandra,Drama|War,2003,998-429-8001
Billy Jack Goes to Washington,Harley,Drama,2004,138-484-7708
Burn Up!,Felisha,Action|Animation,2011,199-660-2135
Lord of Illusions,Davina,Horror,1992,632-910-8251
Primary,Zerk,Documentary,2008,672-427-8963
Believe Me,Tate,Comedy|Drama,2013,490-347-2660
Romance on the High Seas,Alanson,Comedy|Musical|Romance,2007,530-417-7897
Before Night Falls,Sargent,Drama,1996,952-717-2001
Through the Olive Trees (Zire darakhatan zeyton),Lionello,Drama,1997,585-581-9354
Short Cuts,Jeffy,Drama,2009,322-225-6731
"Occupants, The",Dorothy,Thriller,2007,366-304-2878
Ménilmontant,Peterus,Comedy|Drama,1987,877-653-3723
Ambush (Mai fu),Nettie,Action|Adventure,2007,458-377-9464
Shadowlands,Georgena,Drama|Romance,2002,937-779-9227
Mélo,Melly,Drama|Romance,2011,347-602-1600
Barking Dogs Never Bite (Flandersui gae),Daisie,Comedy|Horror,1999,619-332-9099
Rise of the Zombies,Janette,Action|Horror|Thriller,2010,528-567-1510
Innocence,Warren,Drama,1998,358-106-8216
Whatever Works,Pavla,Comedy|Romance,1998,484-928-8972
Jesse James,Karia,Action|Crime|Drama|Romance|Western,2006,304-217-6006
Tuvalu,Morton,Comedy,2008,696-688-9964
"Bashu, the Little Stranger (Bashu, gharibeye koochak)",Steve,Drama,2005,139-740-4686
Carriers,Niles,Drama|Horror|Thriller,2009,438-315-5284
Ghosts of the Abyss,Christa,Documentary|IMAX,2006,601-997-3369
Black Caesar,Aldus,Crime|Drama,2011,241-115-4589
Pawn,Cheston,Crime|Thriller,2012,600-917-1798
Amigo,Fiorenze,Drama|War,1998,848-256-3366
Cherry 2000,Celka,Romance|Sci-Fi,1989,698-720-9999
Manborg,Temple,Action|Adventure|Comedy,1998,411-995-6094
FLCL,Keir,Animation|Comedy|Fantasy|Sci-Fi,1999,448-421-9233
Valerie,Sinclare,Drama,1992,828-674-7280
Sex and Breakfast,Allison,Comedy|Drama|Romance,2001,894-836-6114
What Just Happened,Juliet,Comedy|Drama,2005,936-289-6282
Patton Oswalt: My Weakness Is Strong,Felice,Comedy,2006,226-508-6330
Cause for Alarm!,Renae,Crime|Drama|Film-Noir|Thriller,2009,915-171-1471
Retribution (Sakebi),Fernande,Horror|Mystery|Thriller,1995,664-362-6278
Trouble in Paradise,Danita,Comedy|Romance,2008,911-852-5860
Väreitä,Harwilll,Drama,1997,467-829-7393
"Horse Whisperer, The",Pepi,Drama|Romance,2011,851-633-5092
Il cappotto di legno,Inna,(no genres listed),2008,703-501-1563
After Image (Seeing in the Dark),Evan,Drama|Thriller,1999,513-223-2606
Light Is Calling,Maris,(no genres listed),2007,800-504-0193
Joker,Selia,Comedy,2010,787-518-1905
Just Write,Abran,Comedy,2000,198-581-9158
Chinese Puzzle (Casse-tête chinois),Vite,Comedy|Romance,2003,503-828-2013
Idiot Box,Carmelle,Crime|Drama,1984,268-113-3473
This Night I'll Possess Your Corpse (Esta Noite Encarnarei no Teu Cadáver),Papageno,Horror,2008,988-917-5575
Chhoti Si Baat,Carolan,Comedy|Romance,2000,304-554-4612
2:37,Britni,Drama,2010,398-958-1759
Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) ,Ulises,Comedy,1987,822-959-1964
3 on a Couch (Three on a Couch),Eachelle,Comedy|Romance,2010,358-856-5379
Ra.One,Goraud,Action|Musical|Sci-Fi,2010,659-144-9556
"Nightmare City (a.k.a. City of the Walking Dead) (a.k.a. Invasión de los zombies atómicos, La) (Incubo sulla città contaminata)",Ariela,Action|Horror,2006,404-860-8060
"Aerial, The (La antena)",Sileas,Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi,1994,726-928-2425
Imaginary Crimes,Hesther,Drama,2009,989-860-7438
The Horseplayer,Rozalie,Drama,1997,696-155-6942
TMNT (Teenage Mutant Ninja Turtles),Kassie,Action|Adventure|Animation|Children|Comedy|Fantasy,1995,901-659-7049
Whatever,Benedick,Drama,1990,422-131-6312
Shining Night: A Portrait of Composer Morten Lauridsen,Joelle,Documentary,1995,328-641-7534
Excision,Jan,Crime|Drama|Horror|Thriller,1994,607-416-8177
If I Had a Million,Sigfrid,Comedy|Drama,1997,930-457-9004
Dr. Otto and the Riddle of the Gloom Beam,Omero,Comedy,2005,334-907-4547
Operation Mad Ball,Alecia,Comedy|War,1977,466-268-9867
Everything or Nothing: The Untold Story of 007,Garrot,Documentary,2003,342-225-3919
Camp Rock,Janela,Comedy|Musical|Romance,1996,571-418-7653
Heavy Metal in Baghdad,Delcine,Documentary|Musical|War,2001,160-717-7464
One Nine Nine Four,Lira,Documentary,1993,962-286-0181
Police Story 2 (Ging chaat goo si juk jaap),Stephie,Action|Comedy|Crime|Thriller,2007,225-722-5868
Innocence,Anestassia,Drama|Fantasy|Mystery,2012,596-569-6475
Riding in Cars with Boys,Meridel,Comedy|Drama,2005,323-399-2469
Son of Babylon (Syn Babilonu),Sherri,Drama,2006,918-224-5704
"Fear, The",Hogan,Horror,1996,106-972-9056
Meilleur espoir féminin,Cindelyn,(no genres listed),2000,704-423-0632
Miracle on 34th Street,Uta,Comedy|Drama,2002,520-738-7322
"Fountainhead, The",Koralle,Drama,2000,429-209-1409
Gloria,Laureen,Comedy|Drama,1993,477-117-9267
"Player, The",Arnold,Comedy|Crime|Drama,1989,615-179-4347
"Girl in the Red Velvet Swing, The",Hugibert,Crime|Drama|Romance,2006,300-115-0453
Samaritan Zatoichi (Zatôichi kenka-daiko) (Zatôichi 19),Felicia,Action|Adventure|Drama,1988,962-432-4639
Darling,Mordecai,Drama,2003,193-398-8368
Expelled from Paradise,Odella,Animation,1998,699-456-8562
Dry Cleaning (Nettoyage à sec),Cheslie,Drama,2010,432-357-4913
Russian Roulette,Alane,Drama|Thriller,2010,111-875-1520
While She Was Out,Giffard,Thriller,2004,630-747-3014
Little Black Book,Jennette,Comedy|Romance,1991,902-141-2293
Bleak Moments,Babita,Comedy|Drama,2009,825-740-0418
Made in U.S.A.,Yovonnda,Crime|Mystery,2007,534-539-1421
"Warrior, The",Myrta,Adventure|Drama,2011,511-993-5410
"Garden, The",Josefa,Drama,1992,329-859-2122
Late Bloomers,Derron,Comedy,1993,478-721-6885
Bhaji on the Beach,Wileen,Comedy|Drama,2011,767-906-1797
Cube,Norry,Horror|Mystery|Sci-Fi|Thriller,1993,102-724-0419
Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung),Joshuah,Action|Romance,1990,225-543-7425
"Girl in the Park, The",Dietrich,Drama,1998,934-839-2036
"Inheritance, The (Arven)",Stanwood,Drama,2013,703-796-9509
Soul Assassin,Ramsay,Action|Crime|Thriller,1994,559-182-2903
